Alpha 3 Code,Year,Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,Mean dC_loss (TgCO2),Mean NBE (TgCO2),Mean NCE (TgCO2),Mean FUR
BOL,2016,-52.8599,0.286332,-4.78121,-1.43436,21.9771,2.08312,-0.36,-128.283,-185.92415,-163.94689999999997,0.5375
BOL,2017,-55.3694,5.3052,-4.78121,-1.43436,21.6978,2.19682,-1.59,-281.7622,-341.91274999999996,-320.21515000000005,0.5375
BOL,2018,-58.2401,11.0466,-4.78121,-1.43436,22.1045,2.19682,-1.59,-371.08342500000003,-434.105,-412.00012499999997,0.5375
BOL,2019,-57.3792,9.32492,-4.78121,-1.43436,22.6389,1.95462,-1.07,-180.562525,-242.723075,-220.084125,0.5375
BOL,2020,-56.2175,7.00149,-4.78121,-1.43436,20.9623,1.95462,-0.86,-151.084725,-212.08315,-191.1211,0.5375
BOL,mean,-56.2175,7.00149,-4.78121,-1.43436,21.9012,2.05677,-1.97,-191.718125,-252.71698,-230.81587499999998,0.5375
BRA,2015,-450.646,4.03743,-170.44,-51.1319,513.488,49.9854,0.78,2398.975,1777.88875,2291.375,0.7274999999999999
BRA,2016,-418.438,60.3792,-170.44,-51.1319,500.293,48.3555,1.13,2083.66975,1494.7952500000001,1995.086,0.7274999999999999
BRA,2017,-438.124,21.0083,-170.44,-51.1319,505.306,49.0732,1.27,1288.999,680.4375,1185.74475,0.7274999999999999
BRA,2018,-460.675,24.0951,-170.44,-51.1319,487.522,49.0732,0.55,277.54875000000004,-353.56550000000004,133.95705000000004,0.7274999999999999
BRA,2019,-458.47,19.6854,-170.44,-51.1319,486.057,49.9854,-0.15,1116.7959999999998,487.886025,973.94425,0.7274999999999999
BRA,2020,-445.271,25.8411,-170.44,-51.1319,434.99,49.9854,0.12,1291.6325,675.9235,1110.91075,0.7274999999999999
BRA,mean,-445.271,25.8411,-170.44,-51.1319,487.943,49.4097,0.76,1203.6045,587.89375,1075.8375,0.7274999999999999
BRB,2015,-1.95548e-06,3.91097e-06,0.195859,0.0587577,1.05026,0.126284,0.02,-0.280833,-0.0849761,0.96528775,-0.024999999999999998
BRB,2016,-2.46638e-06,4.93275e-06,0.195859,0.0587577,1.04654,0.128506,-0.5,-0.22707725,-0.031220690000000002,1.0153165000000002,-0.024999999999999998
BRB,2017,-2.48987e-06,4.97973e-06,0.195859,0.0587577,1.04536,0.117025,0.05,-0.29997675,-0.10412032500000001,0.941238,-0.024999999999999998
BRB,2018,-9.27828e-07,1.85566e-06,0.195859,0.0587577,1.06697,0.117025,-0.39,-0.31968625,-0.1238282,0.9431387499999999,-0.024999999999999998
BRB,2019,-1.83804e-06,3.67608e-06,0.195859,0.0587577,1.09343,0.126284,-0.34,-0.26863025,-0.0727733,1.02065475,-0.024999999999999998
BRB,2020,-1.93552e-06,3.87104e-06,0.195859,0.0587577,0.988756,0.126284,-0.0,-0.22344224999999998,-0.027585025000000003,0.9611704999999999,-0.024999999999999998
BRB,mean,-1.93552e-06,3.87104e-06,0.195859,0.0587577,1.04855,0.123568,-0.16,-0.268814,-0.07295715,0.97559425,-0.024999999999999998
BRN,2015,-0.950402,1.21738,0.242137,0.072641,0.180189,0.712151,1.33,1.58203,0.873764675,1.0539545,0.14
BRN,2016,-0.97464,1.1689,0.242137,0.072641,0.189193,0.771775,0.84,1.776332,1.0438255,1.23301925,0.14
BRN,2017,-0.987951,1.14228,0.242137,0.072641,0.195322,0.974717,0.03,0.7145555,-0.0312587,0.16406274999999998,0.14
BRN,2018,-0.976427,1.16533,0.242137,0.072641,0.220486,0.974717,0.03,0.6267392500000001,-0.10755089749999999,0.11293450000000001,0.14
BRN,2019,-0.919013,1.28016,0.242137,0.072641,0.233267,0.712151,0.0,1.1589420000000001,0.48206485,0.71533275,0.14
BRN,2020,-0.961687,1.19481,0.242137,0.072641,0.170435,0.712151,0.04,0.8053332500000001,0.08578324999999999,0.25621849999999996,0.14
BRN,mean,-0.961687,1.19481,0.242137,0.072641,0.198149,0.80961,0.46,1.05019225,0.33064070000000007,0.5287887499999999,0.14
BTN,2015,-3.09158,1.87015,0.0,0.0,0.821572,0.0992493,-0.05,1.48906553,-1.6025175,-0.7809474999999999,0.2375
BTN,2016,-2.9879,2.07752,0.0,0.0,0.878941,0.118136,0.03,4.1259749999999995,1.138076,2.0170225000000004,0.2375
BTN,2017,-3.25036,1.5526,0.0,0.0,0.895085,0.126654,-0.53,1.4000339999999998,-1.8503275,-0.955242,0.2375
BTN,2018,-2.92014,2.21303,0.0,0.0,1.11573,0.126654,0.07,-2.491537,-5.41168,-4.2959475,0.2375
BTN,2019,-2.98653,2.08026,0.0,0.0,1.23098,0.0992493,-0.0,1.020016025,-1.966515,-0.7355375,0.2375
BTN,2020,-3.0473,1.95871,0.0,0.0,1.14532,0.0992493,-0.48,0.35354249999999987,-2.69376,-1.54844,0.2375
BTN,mean,-3.0473,1.95871,0.0,0.0,1.01461,0.111532,-0.26,2.33516875,-0.712133075,0.3024715,0.2375
