Alpha 3 Code,Year,IS dC_loss (TgCO2),IS dC_loss unc (TgCO2),IS NBE (TgCO2),IS NBE unc (TgCO2),IS NCE (TgCO2),IS NCE unc (TgCO2),Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,FUR IS,Experiment,LNLG dC_loss (TgCO2),LNLG dC_loss unc (TgCO2),LNLG NBE (TgCO2),LNLG NBE unc (TgCO2),LNLG NCE (TgCO2),LNLG NCE unc (TgCO2),FUR LNLG,LNLGIS dC_loss (TgCO2),LNLGIS dC_loss unc (TgCO2),LNLGIS NBE (TgCO2),LNLGIS NBE unc (TgCO2),LNLGIS NCE (TgCO2),LNLGIS NCE unc (TgCO2),FUR LNLGIS,LNLGOGIS dC_loss (TgCO2),LNLGOGIS dC_loss unc (TgCO2),LNLGOGIS NBE (TgCO2),LNLGOGIS NBE unc (TgCO2),LNLGOGIS NCE (TgCO2),LNLGOGIS NCE unc (TgCO2),FUR LNLGOGIS
ARE,2017,,,,,,,-0.0717651,0.0330726,11.8215,3.54645,196.521,8.8426,0.85,,LNLGIS,,,,,,,,-10.9334,8.9431,0.816328,8.9431,197.337,1.33698,0.02,,,,,,,
ARE,2017,,,,,,,-0.0717651,0.0330726,11.8215,3.54645,196.521,8.8426,0.85,,LNLGOGIS,,,,,,,,,,,,,,,-11.7439,8.86651,0.00583688,8.86651,196.527,0.650788,-0.02
ARE,2018,-11.619,9.0397,0.143386,9.0397,198.827,1.87742,-0.0591485,0.00783927,11.8215,3.54645,198.684,8.8426,0.55,0.01,IS,,,,,,,,,,,,,,,,,,,,,
ARE,2018,,,,,,,-0.0591485,0.00783927,11.8215,3.54645,198.684,8.8426,0.55,,LNLG,-11.3054,9.45523,0.456979,9.45523,199.141,3.34812,-0.06,,,,,,,,,,,,,,
ARE,2018,,,,,,,-0.0591485,0.00783927,11.8215,3.54645,198.684,8.8426,0.55,,LNLGIS,,,,,,,,-11.4255,9.17425,0.336828,9.17425,199.02,2.44445,0.02,,,,,,,
ARE,2018,,,,,,,-0.0591485,0.00783927,11.8215,3.54645,198.684,8.8426,0.55,,LNLGOGIS,,,,,,,,,,,,,,,-11.5633,9.17935,0.199083,9.17935,198.883,2.46351,-0.02
ARE,2019,-11.6934,11.3314,0.053435,11.3314,200.902,0.998755,-0.0746741,0.0388905,11.8215,3.54645,200.848,11.2873,0.61,0.01,IS,,,,,,,,,,,,,,,,,,,,,
ARE,2019,,,,,,,-0.0746741,0.0388905,11.8215,3.54645,200.848,11.2873,0.61,,LNLG,-11.5334,11.3645,0.213448,11.3645,201.062,1.3219,-0.06,,,,,,,,,,,,,,
ARE,2019,,,,,,,-0.0746741,0.0388905,11.8215,3.54645,200.848,11.2873,0.61,,LNLGIS,,,,,,,,-11.7367,11.8969,0.0100925,11.8969,200.858,3.75927,0.02,,,,,,,
ARE,2019,,,,,,,-0.0746741,0.0388905,11.8215,3.54645,200.848,11.2873,0.61,,LNLGOGIS,,,,,,,,,,,,,,,-11.7393,11.4781,0.00755867,11.4781,200.856,2.08432,-0.02
ARE,2020,-11.6647,11.297,0.0958421,11.297,187.27,0.467793,-0.0609944,0.0203897,11.8215,3.54645,187.174,11.2873,0.55,0.01,IS,,,,,,,,,,,,,,,,,,,,,
ARE,2020,,,,,,,-0.0609944,0.0203897,11.8215,3.54645,187.174,11.2873,0.55,,LNLG,-10.9251,11.3967,0.835418,11.3967,188.009,1.57556,-0.06,,,,,,,,,,,,,,
ARE,2020,,,,,,,-0.0609944,0.0203897,11.8215,3.54645,187.174,11.2873,0.55,,LNLGIS,,,,,,,,-11.3612,11.3595,0.399317,11.3595,187.573,1.27871,0.02,,,,,,,
ARE,2020,,,,,,,-0.0609944,0.0203897,11.8215,3.54645,187.174,11.2873,0.55,,LNLGOGIS,,,,,,,,,,,,,,,-11.7006,11.3394,0.0599468,11.3394,187.234,1.08561,-0.02
ARE,mean,-11.6177,10.9884,0.14284,10.4004,211.75,0.438359,-0.0609944,0.0203897,11.8215,3.54645,211.607,10.3911,-0.38,0.01,IS,,,,,,,,,,,,,,,,,,,,,
ARE,mean,,,,,,,-0.0609944,0.0203897,11.8215,3.54645,211.607,10.3911,-0.38,,LNLG,-11.748,11.01,0.0124588,10.4231,211.62,0.816223,-0.06,,,,,,,,,,,,,,
